Date,Close,Volume,Open,High,Low
2017-09-06,2163,N/A,2163,2163,2163
2017-09-05,2163,N/A,2163,2163,2163
2017-09-01,2202.75,N/A,2202.75,2202.75,2202.75
2017-08-31,2177,N/A,2177,2177,2177
2017-08-30,2161.75,10,2164.75,2164.75,2164.75
2017-08-29,2130.5,N/A,2130.5,2130.5,2130.5
2017-08-28,2130.5,N/A,2130.5,2130.5,2130.5
2017-08-25,2130.5,N/A,2130.5,2130.5,2130.5
2017-08-24,2173,N/A,2173,2173,2173
2017-08-23,2164,N/A,2164,2164,2164
2017-08-22,2140.25,N/A,2140.25,2140.25,2140.25
2017-08-21,2147,N/A,2147,2147,2147
2017-08-18,2131.25,N/A,2131.25,2131.25,2131.25
2017-08-17,2144.25,N/A,2144.25,2144.25,2144.25
2017-08-16,2153.75,N/A,2153.75,2153.75,2153.75
2017-08-15,2104.25,N/A,2104.25,2104.25,2104.25
2017-08-14,2093.25,4,2102.25,2102.25,2091.25
2017-08-11,2108.5,N/A,2108.5,2108.5,2108.5
2017-08-10,2108.5,N/A,2108.5,2108.5,2108.5
2017-08-09,2088.25,N/A,2088.25,2088.25,2088.25
2017-08-08,2099.5,N/A,2099.5,2099.5,2099.5
2017-08-07,2023,10,2007.75,2007.75,2007.75
2017-08-04,1988.75,N/A,1988.75,1988.75,1988.75
2017-08-03,1983.25,N/A,1983.25,1983.25,1983.25
2017-08-02,1990.25,N/A,1990.25,1990.25,1990.25
2017-08-01,1971.25,N/A,1971.25,1971.25,1971.25
2017-07-31,1983,N/A,1983,1983,1983
2017-07-28,1977.25,N/A,1977.25,1977.25,1977.25
2017-07-27,2005.75,N/A,2005.75,2005.75,2005.75
2017-07-26,2005.5,N/A,2005.5,2005.5,2005.5
2017-07-25,2003.25,N/A,2003.25,2003.25,2003.25
2017-07-24,1984.75,N/A,1984.75,1984.75,1984.75
2017-07-21,1987.75,N/A,1987.75,1987.75,1987.75
2017-07-20,1988,N/A,1988,1988,1988
2017-07-19,1990.25,N/A,1990.25,1990.25,1990.25
2017-07-18,2004,20,1995.75,1995.75,1995.75
2017-07-17,1984.25,N/A,1984.25,1984.25,1984.25
2017-07-14,1995,N/A,1995,1995,1995
2017-07-13,1993.5,N/A,1993.5,1993.5,1993.5
