Date,Close,Open,High,Low,Vol.,Change
2019-05-31,64.49,66.24,66.28,64.37,21.75,-3.56
2019-06-03,61.28,61.64,62.84,60.55,386.56,-4.98
2019-06-04,61.97,61.00,62.12,60.21,370.27,1.13
2019-06-05,60.63,61.58,62.27,59.45,428.01,-2.16
2019-06-06,61.67,60.40,62.43,60.22,343.64,1.72
2019-06-07,63.29,62.40,63.59,61.77,307.96,2.63
2019-06-10,62.29,63.58,64.10,62.05,278.49,-1.58
2019-06-11,62.29,62.30,62.87,62.01,302.74,0.00
2019-06-12,59.97,61.79,61.85,59.57,343.21,-3.72
2019-06-13,61.31,59.94,62.64,59.78,435.42,2.23
2019-06-14,62.01,61.25,62.57,60.74,262.31,1.14
2019-06-17,60.94,62.07,62.37,60.74,236.16,-1.73
2019-06-18,62.14,60.93,62.84,60.25,327.70,1.97
2019-06-19,61.82,62.40,62.55,61.40,320.06,-0.51
2019-06-20,64.45,62.45,64.82,62.40,394.17,4.25
2019-06-21,65.20,64.86,65.76,64.00,257.92,1.16
2019-06-24,64.86,65.50,65.79,64.08,217.44,-0.52
2019-06-25,65.05,64.89,65.98,64.17,205.80,0.29
2019-06-26,66.49,65.80,66.85,65.60,141.95,2.21
2019-06-27,66.55,66.05,66.82,65.63,103.16,0.09
2019-06-28,66.55,66.51,66.84,66.08,34.62,0.00
2019-07-01,65.06,65.05,66.75,64.22,361.41,-2.24
2019-07-02,62.40,64.80,65.51,62.22,386.94,-4.09
2019-07-03,63.82,62.90,64.01,62.09,282.11,2.28
2019-07-04,63.30,63.88,64.07,62.95,114.98,-0.81
2019-07-05,64.23,63.27,64.52,62.91,203.54,1.47
2019-07-08,64.11,64.34,65.14,63.79,253.82,-0.19
2019-07-09,64.16,63.81,64.75,63.76,263.89,0.08
2019-07-10,67.01,64.78,67.12,64.63,349.51,4.44
2019-07-11,66.52,66.81,67.65,66.43,283.02,-0.73
2019-07-12,66.72,66.83,67.29,66.51,244.70,0.30
2019-07-15,66.48,66.87,67.47,66.11,283.09,-0.36
2019-07-16,64.35,66.31,67.09,63.82,356.74,-3.20
2019-07-17,63.66,64.44,65.28,63.22,274.93,-1.07
2019-07-18,61.93,63.52,64.46,61.29,374.89,-2.72
2019-07-19,62.47,62.50,63.37,61.83,298.98,0.87
2019-07-22,63.26,63.05,64.03,62.77,267.78,1.26
2019-07-23,63.83,63.26,64.46,62.66,272.73,0.90
2019-07-24,63.18,64.13,64.66,62.59,301.51,-1.02
2019-07-25,63.39,63.21,64.23,63.01,169.84,0.33
2019-07-26,63.46,63.28,63.96,63.01,159.86,0.11
2019-07-29,63.71,63.32,63.90,62.92,101.70,0.39
2019-07-30,64.72,63.91,65.14,63.90,86.10,1.59
2019-07-31,65.17,64.95,65.42,64.95,18.76,0.70
2019-08-01,60.50,64.09,64.54,60.02,433.72,-7.17
2019-08-02,61.89,61.16,62.95,60.98,364.14,2.30
2019-08-05,59.81,61.46,61.56,59.66,378.86,-3.36
2019-08-06,58.94,59.56,60.56,58.55,328.15,-1.45
2019-08-07,56.23,58.68,59.23,55.88,485.19,-4.60
2019-08-08,57.38,57.48,58.01,56.77,299.69,2.05
2019-08-09,58.53,57.74,59.10,57.11,281.80,2.00
2019-08-12,58.57,58.30,58.88,57.88,221.35,0.07
2019-08-13,61.30,58.47,61.50,58.00,338.08,4.66
2019-08-14,59.48,61.07,61.08,58.21,320.43,-2.97
2019-08-15,58.23,59.07,59.42,57.67,298.67,-2.10
2019-08-16,58.64,58.41,59.50,58.28,209.43,0.70
2019-08-19,59.74,58.72,59.92,58.64,211.45,1.88
2019-08-20,60.03,59.68,60.32,58.95,245.25,0.49
2019-08-21,60.30,60.11,61.41,60.07,269.68,0.45
2019-08-22,59.92,60.43,60.89,59.47,276.11,-0.63
2019-08-23,59.34,60.11,60.29,58.30,321.24,-0.97
2019-08-26,58.70,58.35,60.17,58.24,183.30,-1.08
2019-08-27,59.51,58.80,60.17,58.51,218.37,1.38
2019-08-28,60.49,60.04,61.00,59.80,134.26,1.65
2019-08-29,61.08,60.48,61.19,59.98,131.09,0.98
2019-08-30,60.43,60.98,61.17,60.25,25.14,-1.06
2019-09-02,58.66,58.80,59.26,58.10,121.64,-2.93
2019-09-03,58.26,58.54,58.87,57.23,265.12,-0.68
2019-09-04,60.70,58.17,60.96,58.13,283.10,4.19
2019-09-05,60.95,60.49,62.40,60.25,292.06,0.41
2019-09-06,61.54,60.81,61.88,59.40,287.36,0.97
2019-09-09,62.59,61.60,63.00,61.57,249.71,1.71
2019-09-10,62.38,62.82,63.78,62.17,267.55,-0.34
2019-09-11,60.81,62.88,63.27,60.52,315.12,-2.52
2019-09-12,60.38,61.16,61.39,58.92,358.09,-0.71
2019-09-13,60.22,60.45,60.81,59.60,195.83,-0.26
2019-09-16,69.02,66.45,71.95,64.75,735.54,14.61
2019-09-17,64.55,68.15,69.26,63.55,620.49,-6.48
2019-09-18,63.60,64.23,64.99,63.04,295.05,-1.47
2019-09-19,64.40,63.51,65.57,63.46,258.85,1.26
2019-09-20,64.28,65.00,65.28,64.05,224.88,-0.19
2019-09-23,64.77,65.23,65.50,63.53,204.78,0.76
2019-09-24,63.10,64.40,64.60,62.30,216.28,-2.58
2019-09-25,62.39,62.44,62.81,61.23,201.47,-1.13
2019-09-26,62.74,62.58,62.92,61.45,115.57,0.56
2019-09-27,61.91,62.48,62.75,60.76,97.33,-1.32
2019-09-30,60.78,62.24,62.24,60.73,22.01,-1.83
2019-10-01,58.89,59.38,60.10,58.41,291.67,-3.11
2019-10-02,57.69,59.25,59.50,57.22,307.91,-2.04
2019-10-03,57.71,57.54,57.99,56.15,336.90,0.03
2019-10-04,58.37,57.69,58.96,57.67,299.92,1.14
2019-10-07,58.35,58.02,59.68,58.02,228.41,-0.03
2019-10-08,58.24,58.47,58.92,57.38,274.74,-0.19
2019-10-09,58.32,58.02,59.35,57.91,266.48,0.14
2019-10-10,59.10,58.04,59.60,57.80,262.53,1.34
2019-10-11,60.51,59.53,60.69,59.21,367.63,2.39
2019-10-14,59.35,60.69,60.73,58.50,283.07,-1.92
2019-10-15,58.74,59.30,59.68,58.00,305.68,-1.03
2019-10-16,59.42,58.90,59.75,58.36,257.88,1.16
2019-10-17,59.91,58.99,60.04,58.69,269.84,0.82
2019-10-18,59.42,59.78,60.29,59.01,228.14,-0.82
2019-10-21,58.96,59.23,59.55,58.26,212.57,-0.77
2019-10-22,59.70,59.05,60.26,58.75,260.60,1.26
2019-10-23,61.17,59.48,61.30,58.85,313.23,2.46
2019-10-24,61.67,60.99,61.90,60.64,215.54,0.82
2019-10-25,62.02,61.50,62.11,60.93,204.45,0.57
2019-10-28,61.57,62.04,62.34,61.19,167.86,-0.73
2019-10-29,61.59,61.61,61.98,60.66,136.93,0.03
2019-10-30,60.61,61.60,61.93,60.45,105.87,-1.59
2019-10-31,60.23,60.57,61.13,60.07,13.90,-0.63
2019-11-01,61.69,59.45,61.82,59.40,236.09,2.42
2019-11-04,62.13,61.80,62.78,61.28,235.38,0.71
2019-11-05,62.96,62.04,63.19,61.85,231.67,1.34
2019-11-06,61.74,62.78,63.32,61.59,275.94,-1.94
2019-11-07,62.29,61.73,62.89,61.65,261.07,0.89
2019-11-08,62.51,62.29,62.70,60.66,287.67,0.35
2019-11-11,62.18,62.60,62.76,61.57,213.34,-0.53
2019-11-12,62.06,62.11,62.85,61.82,238.17,-0.19
2019-11-13,62.37,61.85,62.74,61.22,273.03,0.50
2019-11-14,62.28,62.61,63.21,62.15,234.78,-0.14
2019-11-15,63.30,62.47,63.65,61.70,255.68,1.64
2019-11-18,62.44,63.36,63.57,61.94,228.25,-1.36
2019-11-19,60.91,62.28,62.57,60.70,296.80,-2.45
2019-11-20,62.40,60.94,62.80,60.30,343.31,2.45
2019-11-21,63.97,62.22,64.03,61.92,318.49,2.52
2019-11-22,63.39,63.62,64.27,62.98,228.74,-0.91
2019-11-25,63.65,63.60,63.80,62.97,212.05,0.41
2019-11-26,64.27,63.70,64.32,63.44,181.10,0.97
2019-11-27,64.06,64.02,64.60,63.51,125.47,-0.33
2019-11-28,63.87,63.91,64.00,63.19,96.08,-0.30
2019-11-29,62.43,63.77,63.86,62.36,19.65,-2.25
2019-12-02,60.92,60.73,62.09,60.72,297.87,-2.42
2019-12-03,60.82,61.05,61.58,60.30,248.55,-0.16
2019-12-04,63.00,61.08,63.51,61.00,319.04,3.58
2019-12-05,63.39,62.97,63.91,62.75,294.84,0.62
2019-12-06,64.39,63.41,64.88,62.83,314.60,1.58
2019-12-09,64.25,64.29,64.50,63.61,239.77,-0.22
2019-12-10,64.34,64.03,64.69,63.78,235.19,0.14
2019-12-11,63.72,64.00,64.26,63.01,250.14,-0.96
2019-12-12,64.20,63.90,64.85,63.87,238.31,0.75
2019-12-13,65.22,64.56,65.79,64.50,232.75,1.59
2019-12-16,65.34,65.05,65.66,64.88,183.35,0.18
