Date,Week day,Close,1W,1M,2M,3M,6M,12M
2014-06-30,Mon,0.28857,0.03643,0.085,0.135,0.17571,0.27214,0.44029
2014-06-27,Fri,0.00071,0.04071,0.08214,0.135,0.17429,0.27214,0.44029
2014-06-26,Thu,0.00071,0.05071,0.08429,0.13571,0.17571,0.27214,0.44029
2014-06-25,Wed,0.00071,0.05,0.08286,0.13643,0.17571,0.27286,0.441
2014-06-24,Tue,0.00214,0.04714,0.08286,0.13643,0.17786,0.27357,0.44171
2014-06-23,Mon,-0.00143,0.04286,0.08286,0.13714,0.17857,0.27214,0.44171
2014-06-20,Fri,-0.00143,0.02857,0.085,0.13786,0.17643,0.27357,0.44171
2014-06-19,Thu,-0.00214,0.02429,0.08214,0.13857,0.17786,0.27643,0.44314
2014-06-18,Wed,0.00357,0.02929,0.08714,0.14357,0.185,0.28,0.446
2014-06-17,Tue,0.00286,0.03357,0.09357,0.14786,0.18929,0.28286,0.446
2014-06-16,Mon,0.00429,0.03357,0.09571,0.15214,0.19214,0.28786,0.44957
2014-06-13,Fri,0.01,0.05,0.11357,0.16643,0.20571,0.29714,0.45814
2014-06-12,Thu,0.02214,0.06429,0.12857,0.17571,0.21286,0.30286,0.46386
2014-06-11,Wed,0.05,0.10714,0.16929,0.20571,0.23571,0.32057,0.47957
2014-06-10,Tue,0.05429,0.12643,0.17714,0.21143,0.24429,0.32571,0.48457
2014-06-09,Mon,0.06357,0.13071,0.18143,0.21429,0.245,0.32357,0.48529
2014-06-06,Fri,0.08,0.13643,0.185,0.21429,0.24643,0.32071,0.48529
2014-06-05,Thu,0.1,0.17643,0.21429,0.24214,0.27071,0.34214,0.49814
2014-06-04,Wed,0.14357,0.19571,0.22429,0.25071,0.28,0.35557,0.50743
2014-06-03,Tue,0.18714,0.215,0.23214,0.25143,0.28143,0.35914,0.51457
2014-06-02,Mon,0.21643,0.22,0.235,0.25714,0.28714,0.36129,0.51886
2014-05-30,Fri,0.44786,0.22286,0.23571,0.25786,0.28714,0.36129,0.52029
2014-05-29,Thu,0.22571,0.22286,0.23143,0.25786,0.28714,0.36129,0.51886
2014-05-28,Wed,0.23,0.23571,0.23357,0.25857,0.28786,0.36143,0.52029
2014-05-27,Tue,0.38571,0.24071,0.235,0.25857,0.28786,0.35857,0.52171
2014-05-23,Fri,0.31214,0.24857,0.23571,0.26,0.29214,0.36986,0.52743
2014-05-22,Thu,0.25286,0.24071,0.23643,0.26214,0.29357,0.37129,0.53029
2014-05-21,Wed,0.20143,0.21357,0.235,0.26214,0.29214,0.37129,0.53243
2014-05-20,Tue,0.14429,0.19714,0.23143,0.26143,0.29286,0.37129,0.53243
2014-05-19,Mon,0.14571,0.19571,0.23,0.26143,0.29286,0.37271,0.53386
2014-05-16,Fri,0.14071,0.195,0.23071,0.26143,0.29,0.37271,0.53386
2014-05-15,Thu,0.14429,0.19786,0.23214,0.26429,0.28857,0.37557,0.53671
2014-05-14,Wed,0.145,0.19929,0.235,0.26786,0.29643,0.38129,0.54671
2014-05-13,Tue,0.15143,0.21071,0.24,0.27286,0.305,0.392,0.55457
2014-05-12,Mon,0.18071,0.21643,0.24071,0.27286,0.305,0.392,0.55171
2014-05-09,Fri,0.20357,0.21643,0.24071,0.27286,0.3,0.39129,0.55143
2014-05-08,Thu,0.20714,0.21071,0.24,0.27429,0.30786,0.40343,0.57143
2014-05-07,Wed,0.215,0.21643,0.24,0.27429,0.30786,0.40343,0.56929
2014-05-06,Tue,0.09286,0.18429,0.235,0.27357,0.30786,0.40486,0.57
2014-05-02,Fri,0.14857,0.19357,0.23929,0.27357,0.30786,0.40414,0.56929
2014-05-01,Thu,0.35429,0.20286,0.24071,0.27357,0.30786,0.40271,0.57071
2014-04-30,Wed,0.35429,0.205,0.24071,0.275,0.30786,0.40271,0.57071
2014-04-29,Tue,0.28857,0.22643,0.24714,0.28143,0.31143,0.41057,0.57743
2014-04-28,Mon,0.26643,0.23071,0.24857,0.28571,0.32143,0.417,0.57886
2014-04-25,Fri,0.22786,0.22143,0.24214,0.27929,0.31143,0.40843,0.57386
2014-04-24,Thu,0.18786,0.19857,0.23214,0.27,0.30214,0.40057,0.56571
2014-04-23,Wed,0.16714,0.18643,0.22571,0.26429,0.29643,0.392,0.55814
2014-04-22,Tue,0.15357,0.18143,0.22143,0.26143,0.29357,0.39129,0.556
2014-04-17,Thu,0.16286,0.17786,0.22071,0.26,0.29214,0.387,0.551
2014-04-16,Wed,0.15143,0.17786,0.22071,0.26,0.29143,0.38771,0.55029
2014-04-15,Tue,0.15286,0.18429,0.22214,0.26143,0.29143,0.38771,0.54957
2014-04-14,Mon,0.14857,0.18286,0.22214,0.26143,0.29143,0.38843,0.54957
2014-04-11,Fri,0.15714,0.18071,0.22214,0.26357,0.29286,0.38986,0.55143
2014-04-10,Thu,0.15286,0.18,0.22143,0.26214,0.29214,0.39129,0.55171
2014-04-09,Wed,0.15929,0.17929,0.21857,0.25929,0.29,0.39129,0.55171
2014-04-08,Tue,0.165,0.18071,0.21857,0.25857,0.29,0.38986,0.551
2014-04-07,Mon,0.17357,0.17714,0.21714,0.25786,0.29071,0.38986,0.551
2014-04-04,Fri,0.16857,0.175,0.21571,0.25643,0.29,0.39057,0.55386
2014-04-03,Thu,0.165,0.16786,0.21357,0.25071,0.28357,0.38343,0.55029
2014-04-02,Wed,0.16286,0.16786,0.21429,0.25143,0.28571,0.38414,0.551
2014-04-01,Tue,0.14286,0.16286,0.21071,0.24786,0.28143,0.37771,0.54457
2014-03-31,Mon,0.58071,0.16857,0.21143,0.24786,0.28143,0.37843,0.54671
2014-03-28,Fri,0.13429,0.16429,0.21,0.245,0.27643,0.37414,0.541
2014-03-27,Thu,0.12214,0.17714,0.21786,0.24857,0.27786,0.37986,0.551
2014-03-26,Wed,0.11286,0.175,0.21571,0.25143,0.28143,0.38271,0.551
2014-03-25,Tue,0.11286,0.17643,0.21643,0.25429,0.28571,0.38557,0.55743
2014-03-24,Mon,0.11214,0.175,0.21643,0.255,0.28714,0.38629,0.56029
2014-03-21,Fri,0.11214,0.17143,0.21286,0.25,0.28071,0.37843,0.55457
2014-03-20,Thu,0.11357,0.16429,0.21286,0.24571,0.28,0.377,0.55529
2014-03-19,Wed,0.12143,0.16357,0.21286,0.24571,0.28,0.37271,0.54886
